stock_id,name,industry,market,market_cap,price
3687,歐買尬,文化創意業,tpex,1893843000.0,63.0
5450,寶聯通,電腦及週邊設備業,tpex,1866649394.75,15.25
8080,永利聯合,電子零組件業,tpex,1863796032.75,27.75
6542,隆中,文化創意業,tpex,1822476701.2809753,44.45000076293945
6591,動力-KY,電子工業,twse,1762099062.2520447,42.849998474121094
6494,九齊,半導體業,tpex,1729470987.9218674,54.79999923706055
6461,益得,生技醫療業,tpex,1721062663.2854671,15.600000381469727
6556,勝品,光電業,tpex,1696250000.0,59.0
2432,倚天,通信網路業,twse,1691871023.5977173,27.350000381469727
1432,大魯閣,貿易百貨,twse,1625400020.5993652,15.050000190734863
6590,普鴻,資訊服務業,tpex,1604441775.2487946,64.30000305175781
6470,宇智,通信網路業,tpex,1581267523.758316,41.95000076293945
8941,關中,貿易百貨,tpex,1559754313.2368546,44.599998474121094
6969,成信實業*-創,創新版股票,twse,1545969331.5,35.25
2230,泰茂,電機機械,tpex,1541690000.0,23.0
2712,遠雄來,觀光事業,twse,1538249959.9456787,14.649999618530273
2756,聯發國際,觀光事業,tpex,1503164208.0,62.0
8933,愛地雅,其他,tpex,1480061170.1994872,4.53000020980835
2947,振宇五金,貿易百貨,tpex,1472919383.7623062,62.29999923706055
6506,雙邦,化學工業,tpex,1461907750.0,17.75
2719,燦星旅,觀光事業,tpex,1435526500.0,20.75
6195,詩肯,貿易百貨,tpex,1402894388.29422,27.950000762939453
6671,三能-KY,其他,twse,1400287453.6514282,23.049999237060547
6573,虹揚-KY,半導體業,twse,1376538060.708046,17.100000381469727
5704,老爺知,觀光事業,tpex,1371476586.4921188,23.299999237060547
8489,三貝德,文化創意業,tpex,1368032036.3386345,22.850000381469727
8354,冠好,塑膠工業,tpex,1366461346.242319,17.399999618530273
5481,新華,電子零組件業,tpex,1361261500.0,20.5
6771,平和環保-創,創新版股票,twse,1340718500.0,43.0
6578,達邦蛋白,農業科技業,tpex,1327329954.8873901,18.450000762939453
8477,創業家,電子商務業,tpex,1317270108.2914581,15.649999618530273
1456,怡華,紡織纖維,twse,1307393982.1243286,13.949999809265137
3713,新晶投控,光電業,tpex,1303732016.801834,14.800000190734863
1453,大將,紡織纖維,twse,1279653243.9995117,11.300000190734863
1593,祺驊,生技醫療業,tpex,1269141484.823227,31.899999618530273
3522,御頂,觀光事業,tpex,1207513639.7094727,11.600000381469727
8472,夠麻吉,電子商務業,tpex,1198940052.937317,67.5999984741211
8928,鉅明,其他,tpex,1189983580.6007385,23.399999618530273
6441,廣錠,電腦及週邊設備業,tpex,1151668820.339203,21.600000381469727
6418,詠昇,電子零組件業,tpex,1144404352.6763916,33.150001525878906
6496,科懋,生技醫療業,tpex,1124627759.45549,24.200000762939453
5703,亞都,觀光事業,tpex,1064135973.2055664,15.149999618530273
3465,進泰電子,電子零組件業,tpex,1058859508.2611275,29.399999618530273
8087,華鎂鑫,光電業,tpex,1038641331.533104,27.200000762939453
8940,新天地,觀光事業,twse,1032612312.8728867,15.300000190734863
6593,台灣銘板,資訊服務業,tpex,1030573901.3900757,32.349998474121094
6560,欣普羅,光電業,tpex,1026201006.3881207,31.600000381469727
9960,邁達康,貿易百貨,tpex,1019532387.8145218,30.350000381469727
8440,綠電,其他,tpex,1017669764.25,20.25
6806,森崴能源,其他,twse,963996583.4008012,3.509999990463257
6624,萬年清,其他,tpex,955091682.7735901,42.29999923706055
2736,富野,觀光事業,tpex,951669506.4930153,11.899999618530273
8077,洛碁,觀光事業,tpex,944762368.2567596,43.04999923706055
4530,宏易,電機機械,tpex,934248443.5546932,26.100000381469727
4950,金耘國際,其他,tpex,917892779.2780933,15.899999618530273
4712,南璋,食品工業,tpex,904921728.0,11.4
2924,宏太-KY,貿易百貨,tpex,902823474.7501335,17.350000381469727
3073,天方能源,半導體業,tpex,900851408.2554779,22.799999237060547
6804,明係,其他,tpex,873999981.880188,18.399999618530273
